id,Facility Name,Facility Type,Address,County,Phone,Email,Program Type,Age Range,Total License Capacity,Annual Inspection Date,Unannounced Inspection Date,In Compliance,Number of Violations
2431754,Halifax Developmental Centre for Early Learning,Day Care Facility,2557 MAYNARD ST. HALIFAX,Halifax County,902-423-4702,directorhdcel@eastlink.ca,"Full Day,School Age",18 months - 7 years,40,23-Jul-13,25-Jan-13,Yes,0
2431751,Halifax & Region Military Family Resource Centre,Day Care Facility,6393 HOMEFIRE CRES. HALIFAX,Halifax County,902-722-4664,julie.patterson@forces.gc.ca,Full Day,3 months - 5 years,62,30-May-13,20-Nov-12,Yes,0
2460404,Growing Place Early Education Centre (The) (Woodlawn),Day Care Facility,114 WOODLAWN RD. DARTMOUTH,Halifax County,902-433-0727,thegrowingplace@ns.sympatico.ca,Full Day,3 months - 5 years,98,22-Mar-13,29-Oct-12,Yes,0
2460401,Growing Place Early Education Centre (The) (Belle Vista),Day Care Facility,34 BELLE VISTA DR. DARTMOUTH,Halifax County,902-434-3886,,"Part Day,School Age",3 years - 12 years,40,21-Mar-13,13-Aug-13,Yes,0
2431730,Grand Pre Playschool Assocation,Day Care Facility,11794 HIGHWAY 1 HWY. GRAND PRÃ‰,Kings County,902-542-3150,,Part Day,30 months - 5 years,17,30-Nov-12,12-Jun-13,Yes,0
2431724,Grace Note Child Care Centre (2010) Limited,Day Care Facility,7071 BAYERS RD. SUITE 5009 HALIFAX,Halifax County,902-444-3480,gracenote@eastlink.ca,"Full Day,School Age",4 months - 10 years,88,15-Nov-12,17-May-13,Yes,0
2431718,Gore District Playschool,Day Care Facility,"1020 HIGHWAY 202 HWY. WEST GORE, Nova Scotia, Canada",Hants County,902-632-2293,,"Full Day,School Age",18 months - 12 years,32,24-10-2012,19-03-2013,Yes,0
2431712,Good Beginings Day Care,Day Care Facility,9 GRANGE ST. ANNAPOLIS ROYAL,Annapolis County,902-532-7736,goodbeggingsdaycare@ns.aliantzinc.ca,"Full Day,School Age",18 months - 10 years,19,01-May-13,20-Nov-12,No,2
2431706,Giant Steps Children's Centre Inc. (Wyndham Drive),Day Care Facility,129 WYNDHAM DR. UPPER TANTALLON,Halifax County,902-826-3040,giantsteps@eastlink.ca,Full Day,18 months - 5 years,68,18-Jan-13,03-Jul-13,Yes,0
2431703,Giant Steps Children's Centre Inc.,Day Care Facility,399 WESTWOOD BLVD. UPPER TANTALLON,Halifax County,902-826-3040,donnabuckland@gmail.com,"Full Day,Part Day,School Age",2 years - 12 years,74,18-Jan-13,24-Jun-13,Yes,0
2431700,Giant Steps Children's Centre Inc - French Village,Day Care Facility,15 FRENCH VILLAGE STATION RD. UPPER TANTALLON,Halifax County,902-820-4040,giantsteps@eastlink.ca,"Full Day,Part Day,School Age",36 months - 12 years,120,29-Aug-13,31-Jan-13,Yes,0
2431697,Giant Steps Children's Centre Inc - Family Home,Family Home Day Care Agency,15 FRENCH VILLAGE STATION RD. UPPER TANTALLON,Halifax County,902-820-4040,giantsteps@eastlink.ca,,,,Yes,0,,
2431694,Garderie Les Petits Poussins Daycare (Le),Day Care Facility,15118 CABOT TRAIL CHÃ‰TICAMP,Inverness County,902-224-1998,p.poussins@ns.sympatico.ca,"Full Day,School Age",18 months - 8 years,26,09-Apr-13,24-Oct-12,Yes,0
2431691,Garderie le Petit Voilier de Bois-Joli (Le),Day Care Facility,211 AVENUE DU PORTAGE DARTMOUTH,Halifax County,902-435-1332,voilier@scolaire.ednet.ns.ca,"Full Day,Part Day,School Age",18 months - 12 years,140,25-Jan-13,15-Jul-13,Yes,0
2431688,Garderie le Petit Voilier de Beaubassin (Le),Day Care Facility,54 LARRY UTECK BLVD. HALIFAX,Halifax County,902-435-1332,voilier@scolaire.ednet.ns.ca,"Full Day,Part Day,School Age",18 months - 12 years,94,25-Jan-13,15-Jul-13,Yes,0
2431685,Garderie le Petit Voilier (Sommet) (La),Day Care Facility,500 LARRY UTECK BLVD. HALIFAX,Halifax County,902-832-9674,info@petitvoilier.ca,Full Day,3 months - 5 years,52,09-Aug-13,14-Dec-12,Yes,0
2431682,Garderie le Petit Voilier (Le) (Carrefour & Pavillon),Day Care Facility,201 AVENUE DU PORTAGE DARTMOUTH,Halifax County,902-435-1332,voilier@scolaire.ednet.ns.ca,"Full Day,School Age",3 months - 12 years,102,25-Jan-13,15-Jul-13,Yes,0
2431679,Garderie Familiale de Clare (La),Family Home Day Care Agency,33 HACHÃ‰ CHEMIN METEGHAN,Digby County,902-645-2673,meldoucet@eastlink.ca,,,,Yes,0,,
2459830,Future Stars' Learning Centre - Site 3,Day Care Facility,58 SCOTCH PINE TERR. HALIFAX,Halifax County,902-405-5390,lindaliaoca@gmail.com,"Part Day,School Age",3 years - 12 years,8,22-Aug-13,16-Jan-13,Yes,0
2431670,Future Stars Learning Centre - Site 2,Day Care Facility,60 SCOTCH PINE TERR. HALIFAX,Halifax County,902-405-5390,lindaliaoca@gmail.com,Full Day,18 months - 6 years,8,23-Jan-13,28-Jun-13,Yes,0
2431667,Future Stars Learning Centre,Day Care Facility,6 ASTER CRT. HALIFAX,Halifax County,902-405-5390,lindaliaoca@gmail.com,"Full Day,School Age",18 months - 12 years,14,01-Oct-12,10-Apr-13,Yes,0
2431664,Fun to Learn Day Care Centre,Day Care Facility,44 BALSAM CIR. LOWER SACKVILLE,Halifax County,902-864-1256,bownessracing@eastlink.ca,Full Day,18 months - 5 years,12,25-Jun-13,09-Jan-13,Yes,0
2431661,Fun Time Kindergarten,Day Care Facility,57 TAMARAC DR. PORT HAWKESBURY,Inverness County,902-625-1499,funtimekindergarten@ns.aliantzinc.ca,Part Day,3 years - 5 years,25,07-Feb-13,24-May-13,Yes,0
2431658,Friends for Life Early Learning Inc,Day Care Facility,5445 ST. MARGARETS BAY RD. UPPER TANTALLON,Halifax County,902-820-2527,shaneandlisa@bellaliant.net,"Full Day,School Age",3 months - 12 years,102,30-Aug-13,06-Feb-13,No,2
2431655,Friends for Life Childcare Centre Inc.,Day Care Facility,1690 PROSPECTRD. HATCHET LAKE,Halifax County,902-850-2527,friendsforlife@eastlink.ca,Full Day,3 months - 5 years,70,13-Feb-13,23-Jul-13,Yes,0
2431649,Fox Hollow Child Care Centre and Family Home Agency,Day Care Facility,1 FOX HOLLOW DR. UPPER TANTALLON,Halifax County,902-826-2709,foxhollow@eastlink.ca,"Full Day,Part Day,School Age",18 months - 12 years,50,07-Mar-13,05-Sep-13,No,2
2432720,Fox Hollow Child Care Centre and Family Home Agency,Family Home Day Care Agency,1 FOX HOLLOW DR. UPPER TANTALLON,Halifax County,902-826-2709,foxhollow@hfx.eastlink.ca,,,,Yes,0,,
2431646,Fox and the Hare Daycare (The),Day Care Facility,91 OSBORNE RD. OSBORNE HARBOUR,Shelburne County,902-656-2847,,"Full Day,School Age",18 months - 12 years,20,18-Jun-13,03-Dec-12,Yes,0
2431634,Forest Hills Child's Place,Day Care Facility,177 POPLAR DR. DARTMOUTH,Halifax County,902-434-2463,,"Full Day,School Age",30 months - 12 years,14,03-Oct-12,18-Mar-13,Yes,0
2431628,First Memories Day Care,Day Care Facility,289 BEAVER BANK RD. BEAVER BANK,Halifax County,902-865-7003/ 430-7697(cell),,"Full Day,Part Day",18 months - 12 years,55,16-Oct-12,11-Apr-13,Yes,0
2431625,First Friends Day Care Society,Day Care Facility,4 JUDY AVE. LOWER SACKVILLE,Halifax County,902-865-4493,,"Full Day,Part Day,School Age",2 years - 12 years,51,05-Nov-12,25-Apr-13,Yes,0
2431622,FHCC After School and Preschool Program,Day Care Facility,281 FOORD ST. UNIT A STELLARTON,Pictou County,902-928-2211,t.e@eastlink.ca,"Part Day,School Age",30 months - 12 years,20,01-Oct-12,27-Mar-13,Yes,0
2431616,Fenerty Road Preschool,Day Care Facility,91 FENERTY RD. MIDDLE SACKVILLE,Halifax County,902-252-8243,fenertyroadpreschool@hotmail.com,Full Day,3 years - 8 years,7,23-Apr-13,15-Oct-12,Yes,0
2431613,Family Matters Family Home Day Care Agency,Family Home Day Care Agency,10 MIDDLE RD. LAWRENCETOWN,Annapolis County,902-584-2210,edfamilymatters@ns.sympatico.ca,,,,No,1,,
2431610,Family Home Child Care Society,Family Home Day Care Agency,281 FOORD ST. UNIT B STELLARTON,Pictou County,902-928-2211,t.e@eastlink.ca,,,,No,10,,
2431604,Explore & Discover Early Learning Centre,Day Care Facility,1488 GEORGE ST. SYDNEY,Cape Breton County,902-270-3988,exploreanddiscov@eastlink.ca,Full Day,18 months - 5 years,18,17-Apr-13,16-Aug-13,No,3
2431601,Executive Child Care,Day Care Facility,139 STANLEY ST. NORTH SYDNEY,Cape Breton County,902-794-3303,michelledawson1@hotmail.com,Full Day,18 months - 5 years,42,05-Nov-12,25-Apr-13,Yes,0
2431592,Evangeline Child Care Centre,Day Care Facility,85 RIVER ST. KENTVILLE,Kings County,902-678-9402,e.simpson@ns.sympatico.ca,"Full Day,School Age",18 months - 12 years,40,09-Jul-13,27-Nov-12,Yes,0
2431586,Erica's Day Care Centre,Day Care Facility,4182 HIGHWAY 7 HWY. PORTERS LAKE,Halifax County,902-827-2497,ericasdaycare@hotmail.com,"Full Day,Part Day,School Age",18 months - 12 years,60,08-Aug-13,18-Dec-12,Yes,0
2559807,Elmwood Child Care Centre (Toddlers),Day Care Facility,753 HIGHWAY 2 HWY. ELMSDALE,Hants County,902-883-1066,elmwoodcc@eastlink.ca,Full Day,18 months - 35 months,18,N/A,14-Jun-13,Yes,0
2431577,Elmwood Child Care Centre (Lantz),Day Care Facility,1208 HWY #2 HWY. LANTZ,Hants County,902-883-1066,elmwoodcc@eastlink.ca,"Full Day,Part Day,School Age",32 months - 12 years,64,15-Nov-12,27-May-13,Yes,0
2431574,Elmwood Child Care Centre,Day Care Facility,583 HIGHWAY 2 HWY. ELMSDALE,Hants County,902-883-1835,elmwoodcc@eastlink.ca,"Part Day,School Age",32 months - 12 years,30,11-Sep-13,05-Mar-13,Yes,0
2431568,Edward Jost Children's Centre,Day Care Facility,7 MONT ST. HALIFAX,Halifax County,902-477-9324,edwardjost@ns.aliantzinc.ca,Full Day,18 months - 5 years,54,11-Sep-13,22-Mar-13,Yes,0
2431565,Edward Jost Annex,Day Care Facility,11 MONT ST. HALIFAX,Halifax County,902-479-2835,edwardjost@ns.aliantzinc.ca,Full Day,5 months - 5 years,54,07-Aug-13,09-Jan-13,Yes,0
2431556,East Preston Day Care Centre,Day Care Facility,1799 HIGHWAY 7 HWY. EAST PRESTON,Halifax County,902-462-0054,eastprestondaycare@yahoo.ca,"Full Day,School Age",3 months - 10 years,85,26-Aug-13,25-Feb-13,No,2
2685540,East Hants Childcare Centre,Day Care Facility,248 HIGHWAY 2 HWY. ENFIELD,Hants County,902-222-3655,easthantsdaycare@yahoo.ca,"Full Day,School Age",18 months to 5 years,48,N/A,N/A,Yes,0
2617511,Early Explorers Daycare Inc.,Day Care Facility,3115 RALSTON AVE. HALIFAX,Halifax County,902 431-6974,adooks@hotmail.com,Full Day,18 months to 5 years,35,N/A,28-Aug-13,Yes,0
2431553,Dwight Ross Kids Care,Day Care Facility,949 TREMONT MOUNTAIN RD. GREENWOOD,Kings County,902-848-6070,shellyl@ns.sympatico.ca,"Part Day,School Age",3 years - 12 years,26,13-Sep-12,06-Mar-13,Yes,0
2431550,Dutch Village Road Child Care Centre Limited,Day Care Facility,2695 DUTCH VILLAGE RD. HALIFAX,Halifax County,902-454-6340,,Full Day,3 months - 9 years,57,10-Apr-13,17-Oct-12,Yes,0
2431433,Duck Duck Goose Children's Centre Limited (Portland Estates),Day Care Facility,16 PORTLAND ESTATES BLVD. DARTMOUTH,Halifax County,902-435-5370,carl.chapman@ns.sympatico.ca,"Full Day,School Age",18 months - 12 years,26,19-Nov-12,29-Apr-13,Yes,0
2431430,Duck Duck Goose Children's Centre Limited (Mount Edward),Day Care Facility,49 MOUNT EDWARD RD. DARTMOUTH,Halifax County,902-462-2824,Kristamkchapman@hotmail.com,Full Day,18 months - 6 years,18,22-Aug-13,08-Jan-13,Yes,0
2431427,Duck Duck Goose Children's Centre Limited (Lantana),Day Care Facility,17 LANTANA TERR. DARTMOUTH,Halifax County,902-462-2824,Kristamkchapman@hotmail.com,"Full Day,Part Day,School Age",30 months - 9 years,14,22-Oct-12,16-Apr-13,Yes,0
2431424,Dr. Jane Norman Child Study Centre,Day Care Facility,60 LORNE ST. TRURO,Colchester County,902-893-3342,elliottk@inst-hse.ca,Full Day,2 years - 5 years,22,13-Sep-13,08-Mar-13,No,1
2683738,Downby the Bay Early Childhood Program,Day Care Facility,1319 HIGHWAY 330 HWY. CENTREVILLE,Shelburne County,902-745-3700,csiafterschool@hotmail.com,School Age,4 years to 12 years,15,N/A,N/A,Yes,0
2431421,Do Re Mi Pre-school,Day Care Facility,535 MAIN ST. LIVERPOOL,Queens County,902-354-5954,bonnie.maciver@ns.sympatico.ca,Part Day,3 years - 5 years,13,09-Apr-13,04-Oct-12,Yes,0
2431418,Digby Pre-School Co-op,Day Care Facility,84 WARWICK ST. DIGBY,Digby County,902-245-5780,digbypreschoolcoop@ns.aliantz.ca,Full Day,30 months - 5 years,20,29-Oct-12,19-Apr-13,Yes,0
2431412,Depend On Me,Day Care Facility,86 COW BAY RD. EASTERN PASSAGE,Halifax County,902-431-6845,jannifer@dependonmeservices.com,"Full Day,Part Day,School Age",18 months - 12 years,150,22-Jul-13,13-Dec-12,Yes,0
2431406,Debert Child Development Centre,Day Care Facility,1252 MASSTOWN RD. DEBERT,Colchester County,902-662-2225,debertpreschool@hotmail.com,Part Day,3 years - 5 years,20,02-Apr-13,26-Sep-12,Yes,0
2431403,Debbie's Pre-School,Day Care Facility,449 POPLAR DR. DARTMOUTH,Halifax County,902-434-3278,deborah.boyd@hotmail.com,Part Day,2 years - 5 years,14,08-Nov-12,01-May-13,Yes,0
2431397,Daydreams Before and After School Program,Day Care Facility,28 BLUEWATER RD. BEDFORD,Halifax County,902-835-5437,daydreams@ns.sympatico.ca,"Full Day,Part Day,School Age",30 months - 12 years,60,15-Aug-13,17-Jan-13,Yes,0
2431394,Day Dreams Childcare Centre Inc.,Day Care Facility,34 BLUEWATER RD. BEDFORD,Halifax County,902-835-5437,daydreams@ns.sympatico.ca,Full Day,8 months - 11 years,104,15-Aug-13,19-Feb-13,Yes,0
2431391,Dartmouth Pre-School,Day Care Facility,25 ALFRED ST. DARTMOUTH,Halifax County,902-469-1770,hogie.pat@yahoo.ca,Part Day,3.8 years - 5 years,30,23-Apr-13,10-Oct-12,Yes,0
2431388,Dartmouth Day Care Centre (Crichton),Day Care Facility,33 CRICHTON AVE. DARTMOUTH,Halifax County,902-469-3739,dartmouthdaycare@ns.sympatico.ca,Full Day,18 months - 5 years,56,01-May-13,06-Nov-12,Yes,0
2431385,Dartmouth Day Care Centre (Caledonia),Day Care Facility,28 CALEDONIA RD. DARTMOUTH,Halifax County,902-434-2865,dartmouthdaycare@ns.sympatico.ca,Full Day,18 months - 5 years,60,01-May-13,05-Nov-12,Yes,0
2432957,Dartmouth Child Development Centre,Day Care Facility,184 WYSE RD. DARTMOUTH,Halifax County,902-461-0551,ddc@ns.aliantzinc.ca,Full Day,3 months - 6 years,52,15-May-13,22-Nov-12,Yes,0
2462562,Dalhousie Agricultural Campus Daycare,Day Care Facility,"43 COLLEGE RD. Truro, NS B2N 5E3",Colchester County,902-494-2511,Richard.Florizone@dal.ca,Full Day,18 months - 5 years,30,03-09-2013,27-02-2013,No,1
2432954,Cunard Street Children's Centre (The),Day Care Facility,5557 CUNARD ST. HALIFAX,Halifax County,902-423-6799,cscc@ns.aliantzinc.ca,"Full Day,School Age",18 months - 10 years,56,20-Sep-12,12-Mar-13,Yes,0
2432951,"Cumberland YMCA, Child Care Program (Pugwash Site)",Day Care Facility,171 QUEEN ST. PUGWASH,Cumberland County,902-243-3900,vmcmanaman@ymcaofcumberland.com,Part Day,3 years - 5 years,16,04-Sep-13,26-Feb-13,Yes,0
2432948,Cumberland YMCA Early Learning Centre (Church Street),Day Care Facility,92 CHURCH ST. AMHERST,Cumberland County,902-667-4724,rlusby@ymcaofcumberland.com,"Full Day,Part Day,School Age",10 months - 12 years,164,11-Jan-13,04-Jul-13,Yes,0
2464175,Cumberland YMCA Cumberland North After School,Day Care Facility,879 HIGHWAY 204 HWY. BROOKDALE,Cumberland County,902-667-4724,,School Age,4 years - 12 years,30,N/A,04-Mar-13,Yes,0
2432942,Cumberland YMCA - Oxford Site,Day Care Facility,5228 MAIN ST. OXFORD,Cumberland County,902-667-9112,shawco@ymcaofcumberland.com,Full Day,18 months - 12 years,40,14-Dec-12,14-May-13,Yes,0
2432939,Crystal Day Nursery Limited,Day Care Facility,60 HIGHFIELD PARK DR. UNIT 4 DARTMOUTH,Halifax County,902-466-3490,cryday@ns.aliantzinc.ca,"Full Day,School Age",6 months - 10 years,99,03-Apr-13,03-Aug-12,Yes,0
2432933,Crestview Children's Centre (Full Day Care),Day Care Facility,1475 BEDFORD HWY. BEDFORD,Halifax County,902-835-4295,,"Full Day,School Age",18 months - 12 years,65,20-Feb-13,11-Sep-13,Yes,0
2432930,Crestview Children's Centre (43 Oceanview Drive),Day Care Facility,43 OCEANVIEW DR. BEDFORD,Halifax County,902-835-4295,,Part Day,3 years - 12 years,14,20-Feb-13,13-Sep-13,No,2
2432927,Creative Learners Preschool & Child Care,Day Care Facility,340 DAYTON RD. CHEGOGGIN,Yarmouth County,902-742-8623,shannonpyc@hotmail.com,Part Day,30 months - 5 years,12,25-Apr-13,08-Nov-12,Yes,0
2432924,Creative Kids Preschool,Day Care Facility,133 MICMAC DR. HAMMONDS PLAINS,Halifax County,902-444-6321,creativekids@accesswave.ca,Part Day,30 months - 5 years,14,23-Oct-12,28-Mar-13,Yes,0
2432921,Creative Kids Education Centre Inc. (Preschool & After-School),Day Care Facility,109 WHITE HILLS RUN HAMMONDS PLAINS,Halifax County,902-832-5437,creativekids@accesswave.ca,"Full Day,School Age",3 years - 12 years,100,25-Oct-12,11-Apr-13,Yes,0
2432918,Cradle to Crayons Learning Center,Day Care Facility,1094 SALMON RIVER RD. SALMON RIVER,Colchester County,902-893-9488,cradle.to.crayons@live.com,Full Day,18 months - 5 years,28,09-May-13,16-Nov-12,Yes,0
2432915,Coxheath Elementary After School Program,Day Care Facility,30 MT FLORENCE ST. COXHEATH,Cape Breton County,902-304-7439,coxhealthafterschool@gmail.com,School Age,5 years - 12 years,50,10-Sep-13,28-Feb-13,No,2
2432912,Cowie Hill Child Care Centre,Day Care Facility,30 RIDGE VALLEY RD. HALIFAX,Halifax County,902-479-1001,cowiehill@ns.sympatico.ca,"Full Day,School Age",3 years - 8 years,57,12-Jun-13,28-Nov-12,Yes,0
2432906,Count Your Blessings Child Care,Day Care Facility,1406 SOUTH BISHOP RD. COLDBROOK,Kings County,902-365-2794,sanata_dakota@hotmail.com,"Full Day,School Age",18 months - 12 years,23,13-Feb-13,07-Aug-13,Yes,0
2432897,Cormier's Play and Learn,Day Care Facility,2402 CAMDEN LOOP ANTIGONISH,Antigonish County,902-867-3872,mcormier@stfx.ca,"Full Day,School Age",3 months - 12 years,55,06-Nov-12,23-Apr-13,Yes,0
2690634,Come To Me Daycare and Preschool Inc.,Day Care Facility,5900 INGLIS ST. HALIFAX,Halifax County,902-407-3038,,"Full Day,School Age",18 months to 12 years,40,N/A,N/A,Yes,0
2432876,Cole Harbour Daycare of Early Learners,Day Care Facility,1090 COLE HARBOUR RD. COLE HARBOUR,Halifax County,902-431-7239,chdaycare@live.ca,"Full Day,School Age",18 months - 10 years,40,06-Mar-13,26-Jul-13,Yes,0
2458729,Coldbrook After School Program,Day Care Facility,2305 ENGLISH MOUNTAIN RD. COLDBROOK,Kings County,902-679-7153,coldbrookasp@hotmail.com,School Age,5 years - 12 years,30,11-Sep-13,05-Feb-13,Yes,0
2432873,Colchester Community Day Care Association,Day Care Facility,60 LORNE ST. TRURO,Colchester County,902-895-1317,ccdc@ccrsb.ednet.ns.ca,Full Day,2 years - 5 years,56,05-Sep-13,21-Feb-13,No,1
2432870,Colby Village Pre-School,Day Care Facility,144 AVONDALE RD. DARTMOUTH,Halifax County,902-434-7396,,Part Day,3 years - 5 years,40,02-Nov-12,19-Mar-13,Yes,0
2432861,Cobequid Children's Centre,Day Care Facility,103 COBEQUID RD. LOWER SACKVILLE,Halifax County,902-864-5865,cobequidchildrenscentre@ns.sympatico.ca,"Full Day,School Age",3 months - 10 years,107,09-May-13,06-Dec-12,Yes,0
2433656,Citizen Service League Nursery School (Town House & Oceanview),Day Care Facility,150 COMMERCIAL ST. GLACE BAY,Cape Breton County,902-849-2464,,Part Day,3 years - 5 years,25,11-Apr-13,18-Oct-12,Yes,0
2433653,Citizen Service League Nursery School (Passchendaele),Day Care Facility,8 DOMINION ST. GLACE BAY,Cape Breton County,902-849-2464,,"Part Day,School Age",3 years - 12 years,30,09-Apr-13,16-Oct-12,Yes,0
2433650,Citizen Service League Nursery School (New Aberdeen),Day Care Facility,10 SECOND ST. GLACE BAY,Cape Breton County,902-849-2464,,Part Day,3 years - 5 years,25,11-Apr-13,18-Oct-12,Yes,0
2433647,Circle Time Friends Preschool,Day Care Facility,2990 OXFORD ST. HALIFAX,Halifax County,902-455-6520,sforbes72@hotmail.com,"Full Day,School Age",18 months - 12 years,46,28-Jun-13,25-Jan-13,Yes,0
2433644,Christopher Robin's Learning Centre Inc.,Day Care Facility,11 SCARFE COURT DARTMOUTH,Halifax County,902-468-5208,crlc@eastlink.ca,Full Day,3 months - 5 years,72,10-Dec-12,04-Jun-13,Yes,0
2433641,Christopher Allen's PreSchool Inc,Day Care Facility,6463 ALMON ST. HALIFAX,Halifax County,902-405-3675,capreschool@eastlink.ca,Full Day,3 years - 9 years,14,05-Dec-12,16-May-13,Yes,0
2433632,Children's Place Learning Centre,Day Care Facility,19 BROOKSIDE WAY ANTIGONISH,Antigonish County,902-863-0614,childrensplace2@ns.aliantzinc.ca,"Part Day,School Age",3 years - 12 years,18,07-Mar-13,15-Oct-12,Yes,0
2433629,Children's Place Day Care Centre,Day Care Facility,81 CHURCH ST. ANTIGONISH,Antigonish County,902-863-4570,childrensplace@ns.alliantzinc.ca,Full Day,18 months - 6 years,35,05-Jun-13,04-Jan-13,Yes,0
2433626,Children's Garden (The),Day Care Facility,3461 DUTCH VILLAGE RD. HALIFAX,Halifax County,902-457-3313,childrensgarden@hfx.eastlink.ca,Full Day,18 months - 5 years,77,23-May-13,19-Oct-12,Yes,0
2433623,Children's Enrichment Nook,Day Care Facility,151 JOFFRE ST. DARTMOUTH,Halifax County,902-461-4215,cenook@gmail.com,Part Day,2 years - 6 years,30,12-Jun-13,26-Nov-12,Yes,0
2433620,Children's Corner Day Care Centre (Colby Drive),Day Care Facility,595 COLBY DR. COLE HARBOUR,Halifax County,902-462-7200,childrenscorner@eastlink.ca,"Full Day,School Age",3 months - 12 years,66,26-Mar-13,05-Sep-12,Yes,0
2433617,Children's Corner Day Care Centre (2 Circassion),Day Care Facility,2 CIRCASSION DR. COLE HARBOUR,Halifax County,902-462-7200,,"Part Day,School Age",2 years - 12 years,41,04-Oct-12,13-Mar-13,Yes,0
2433608,Chester and Area Family Resource Centre - Kidz Zone Afterschool Program,Day Care Facility,110 CLEARWAY ST. MAHONE BAY,Lunenburg County,902-275-4347,info@chesterfamilycentre.ca,School Age,4 years - 12 years,29,12-Oct-12,15-Apr-13,Yes,0
2433605,Chester and Area Family Resource Centre,Day Care Facility,188 PIG LOOP RD. CHESTER,Lunenburg County,902-275-4347,info@chesterfamilycentre.ca,"Full Day,Part Day,School Age",6 months - 12 years,81,12-Oct-12,16-Apr-13,Yes,0
2660325,Chebucto Family Centre Home Daycare Agency,Family Home Day Care Agency,3 SYLVIA AVE. HALIFAX,Halifax County,902 479-3031 Ext 311,kira@hgahfx.ca,,,,Yes,0,,
2433593,Carousel Nursery School,Day Care Facility,15 CHURCH ST. TATAMAGOUCHE,Colchester County,902-657-9225,,"Part Day,School Age",3 years - 12 years,20,30-Apr-13,22-Oct-12,Yes,0
2433590,Carmie's Pre-School & Day Care,Day Care Facility,402 HIGHWAY 214 HWY. ELMSDALE,Hants County,902-883-9898,,Full Day,18 months - 12 years,46,11-Jul-13,15-Jan-13,Yes,0
2436910,Care and Fun Child Care Center,Day Care Facility,290 MAIN AVE. HALIFAX,Halifax County,902 445 0881,info@carenfun.ca,"Full Day,School Age",3 months to 12 years,65,11-Jul-13,01-Nov-12,Yes,0
2433587,Cape Breton University Early Childhood Centre,Day Care Facility,1250 GRAND LAKERD. SYDNEY,Cape Breton County,902-562-5437,raylene_theriault@ns.sympatico.ca,Full Day,2 years - 5 years,47,14-Jun-13,19-Oct-12,Yes,0
2433581,Canso Area DayCare Centre,Day Care Facility,115 SCHOOL ST. CANSO,Guysborough County,902-366-2090,,"Full Day,School Age",18 months - 10 years,35,17-Sep-12,15-Jan-13,Yes,0
2433569,Caledonia & Area Nursery School,Day Care Facility,40 WEST CALEDONIARD. CALEDONIA,Queens County,,caledonia_nursery_school@hotmail.com,Part Day,3 years - 6 years,10,17-Oct-12,03-Apr-13,Yes,0
2433560,Bye the Sea Nursery School,Day Care Facility,26 LINCOLN ST. LUNENBURG,Lunenburg County,902-634-4789,ldcc@ns.sympatico.ca,Part Day,30 months - 5 years,12,15-Oct-12,18-Apr-13,Yes,0
2433557,Busy Bee Day Care Co. Ltd. (Lake Echo),Day Care Facility,2875 HIGHWAY 7 HWY. LAKE ECHO,Halifax County,902-829-2333,email@busybeedaycare.com,"Full Day,Part Day,School Age",3 months - 12 years,76,02-Apr-13,14-Aug-12,Yes,0
2687422,Busy Bee Day Care (Porters Lake),Day Care Facility,95 WEST PORTERS LAKE RD. PORTERS LAKE,Halifax County,902-827-3456,email@busybeedaycare.com,"Full Day,Part Day,School Age",4 months to 8 years,17,N/A,N/A,Yes,0
2433554,Busy Bee Day Care (Musquodoboit),Day Care Facility,42 LITTLE RIVER DR. MUSQUODOBOIT HARBOUR,Halifax County,902-829-2333,email@busybeedaycare.com,Full Day,18 months - 5 years,12,25-Jun-13,22-Nov-12,Yes,0
2433545,Burnside Children's Centre,Day Care Facility,60 THORNHILL DR. UNIT 1 DARTMOUTH,Halifax County,902-468-4699,,Full Day,3 months - 5 years,79,05-Jun-13,27-Nov-12,Yes,0
2433542,Building Dreams Child Care Centre,Day Care Facility,479 ARKLOW DR. DARTMOUTH,Halifax County,902-407-7267,buildingdreamsccc@gmail.com www.buildingdreamschildcare.ca,"Full Day,School Age",18 months - 12 years,34,02-May-13,19-Oct-12,Yes,0
2433539,Building Blocks PreSchool,Day Care Facility,14 HURON AVE. WOLFVILLE,Kings County,902-542-1128,building.blocks@ns.sympatico.ca,"Full Day,School Age",18 months - 12 years,20,20-Aug-13,21-Mar-13,Yes,0
2433533,Brookfield Preschool,Day Care Facility,55 CARTER RD. BROOKFIELD,Colchester County,902-673-2175 902-671-1937 (home),m.graham@ns.sympatico.ca,Full Day,2 years - 5 years,23,06-Mar-13,21-Sep-12,Yes,0
2433527,Brins de Soleil Centre Prescolaire,Day Care Facility,15 INGLIS ST. SYDNEY,Cape Breton County,902-539-8854,brinsdesoleil@gmail.com,"Full Day,School Age",18 months - 12 years,30,01-Nov-12,18-Mar-13,Yes,0
2433524,Bright Stars Children Centre,Day Care Facility,65 CUMBERLAND ST. LUNENBURG,Lunenburg County,902-634-9148,,Part Day,3 years - 5 years,24,15-Oct-12,15-Apr-13,Yes,0
2433521,Bright Minds Kindergarten,Day Care Facility,81 TARANAKI DR. WESTPHAL,Halifax County,902-489-0001,bright.minds@live.com,Part Day,36 months - 5 years,12,08-Mar-13,11-Sep-12,Yes,0
